submission_id,respondent_id,submitted_at,loan_id,nps_score,nps_reason,improvement_suggestion,device_quality_happy,service_support_happy,payment_delay,support_difficulty,support_challenge_details,battery_issues,used_moapp,preferred_channel,phone_locked_on_time_payment,other_feedback,nps_category,year,month
BzK4Q11,k4z1Y6,4/22/2025 15:15,rec2FCxHhqXw6aKRU,6,,,Yes,Yes,Yes,Yes,Unlocking my phone,No,"yes, and i am satisfied with the moapp",MoPhones App,Yes,,Detractor,2025,2025-04
b59V45Z,AY9GMk,4/22/2025 15:18,recQcLWbPcep18Wdw,10,,,Yes,Yes,No,No,Response team always on time,No,"yes, and i am satisfied with the moapp",Free SMS – 25044,No,Would like to upgrade once I'm done with this loan,Promoter,2025,2025-04
GxKvYKO,eGz8Ek,4/22/2025 15:31,recei9UEU0e5F9HuG,5,,,No,No,No,Yes,"I bought a Samsung A42 which has fingerprint lock that doesn't work since I bought it from Mophones, I took it back and it's wasn't fixed.. Then the Phone has an on and Off network issues",No,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Good service and efficient response,Detractor,2025,2025-04
A7KP49z,LjOx7j,4/22/2025 15:40,recosDWAJvWzAKgLv,1,,,No,No,Yes,Yes,Delays,Yes,"yes, but i am not satisfied with the moapp",,,,Detractor,2025,2025-04
81zo6pr,7YE0RR,4/22/2025 15:40,recTJng0Mj0dJP1kv,1,,,No,No,Yes,Yes,Not satisfied with my phone,Yes,"yes, but i am not satisfied with the moapp",MoPhones App,Yes,Not satisfied with my phone,Detractor,2025,2025-04
xXjxR5J,RQjeLp,4/22/2025 15:41,recPKFOtpkS0z9Kpp,10,,,Yes,Yes,No,No,.,No,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,.,Promoter,2025,2025-04
GxKvQ6L,ljz2Mo,4/22/2025 15:41,rechy4Nf0Ihxrdy85,10,,,,,,,,,,,,,Promoter,2025,2025-04
rjBykB2,k4zjvo,4/22/2025 15:42,recayIesPKGAMilkX,0,,,,,,,,,,,,,Detractor,2025,2025-04
5B4KeaM,k4zjZJ,4/22/2025 15:42,rec86PnPzgTEunR4Q,9,,,No,No,Yes,Yes,There is a lot to be,No,"yes, and i am satisfied with the moapp",MoPhones App,Yes,,Promoter,2025,2025-04
5B4Kp16,rQY9pN,4/22/2025 15:44,recJKsUBTzHl4IGK3,10,,,Yes,Yes,Yes,"no, i have never looked for customer care",,No,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,,Promoter,2025,2025-04
eqDZYBO,AY9RGD,4/22/2025 15:44,recUmt3DbYL0gb025,10,,,Yes,Yes,No,No,,No,"yes, and i am satisfied with the moapp",Reach Out via a Sales Agent,No,,Promoter,2025,2025-04
aQeNaYv,yRD5Dg,4/22/2025 15:44,recVOllpG6mFoGtaV,8,,,No,Yes,No,No,Battery can't store charge I need a replaced of battery,Yes,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Kindly exchange my battery,Passive,2025,2025-04
dWNqK2d,gVzV5M,4/22/2025 15:44,reciMIpVjO2lBzHt8,7,,,Yes,Yes,Yes,No,Payment terms are harsh,No,"no, i have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,You need to check on payment terms,Passive,2025,2025-04
WOr9jYJ,AY9RN0,4/22/2025 15:45,receJwqtM49LS8gE8,10,,,Yes,Yes,Yes,"no, i have never looked for customer care",No,No,"no, i have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Am happy for your service,Promoter,2025,2025-04
zxNX1Q8,4YO00O,4/22/2025 15:45,recB2N3ejw9jeBo4l,0,,,No,No,Yes,Yes,My phone is not working despite payment,Yes,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,My phone has a charging problem since,Detractor,2025,2025-04
jabDkpQ,gVzPBK,4/22/2025 15:46,recK9QseqaimraXBE,8,,,Yes,Yes,Yes,No,Have a 24/7 customer care services,Yes,"yes, but i am not satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No,Passive,2025,2025-04
PdDjkDx,gVz85l,4/22/2025 15:48,rectavMBbkg1rwXIl,10,,,Yes,Yes,No,No,,,,,,,Promoter,2025,2025-04
MeDK74X,8YrbNl,4/22/2025 15:49,recu8gML0JT6Cd9ES,3,,,No,No,Yes,Yes,After payment you don't open ...but if not payed you closed automatic,Yes,"yes, but i am not satisfied with the moapp",MoPhones App,No,Improve in your app,Detractor,2025,2025-04
